id_product;name;brand;priceU;salePriceU;article
133908807;AllConsoles;AllConsoles;39756.0;9923.0;1074-CB grey
94871429;AllConsoles;AllConsoles;57105.0;18707.0;1011-CS clear
133679480;AllConsoles;AllConsoles;47019.0;17237.0;1054-CG grey
180716147;SIMPLE STORY;SIMPLE STORY;2170.0;1690.0;2047-LED10TRB
182712367;SIMPLE STORY;SIMPLE STORY;4744.0;3695.0;2057-LED3PLCR
186701393;SIMPLE STORY;SIMPLE STORY;6071.0;4978.0;1118-1WL
186701390;SIMPLE STORY;SIMPLE STORY;6071.0;4978.0;1115-1WL
133676995;AllConsoles;AllConsoles;42840.0;11695.0;1044-CB grey
133908801;AllConsoles;AllConsoles;42570.0;8965.0;1074-CB clear
94944963;AllConsoles;AllConsoles;65789.0;17960.0;1011-CG grey
94957186;AllConsoles;AllConsoles;48497.0;14752.0;1031-CG grey
94945908;AllConsoles;AllConsoles;58269.0;14089.0;1041-CS grey
190060001;AllConsoles;AllConsoles;31805.0;9923.0;1074-CG grey
94618176;AllConsoles;AllConsoles;44319.0;12790.0;1041-CG clear
94618175;AllConsoles;AllConsoles;53569.0;13370.0;1031-CB clear
190060000;AllConsoles;AllConsoles;35120.0;9587.0;1074-CG clear
94618181;AllConsoles;AllConsoles;47481.0;13703.0;1031-CG clear
141205658;AllConsoles;AllConsoles;51204.0;11981.0;1042-CB grey
95059807;AllConsoles;AllConsoles;47618.0;10771.0;1044-CG clear
193230580;AllConsoles;AllConsoles;15103.0;5772.0;1024-CTG clear
95059791;AllConsoles;AllConsoles;54405.0;11457.0;1043-CG grey
133908802;AllConsoles;AllConsoles;46890.0;9143.0;1073-CB grey
95059578;AllConsoles;AllConsoles;60847.0;11865.0;1033-CB clear
149295840;AllConsoles;AllConsoles;48181.0;16535.0;1012-CB grey
94957188;AllConsoles;AllConsoles;55958.0;15713.0;1031-CB grey
193393517;AllConsoles;AllConsoles;12132.0;5772.0;1024-CTG grey
95059582;AllConsoles;AllConsoles;43749.0;13990.0;1033-CG grey
95059789;AllConsoles;AllConsoles;42606.0;10966.0;1044-CB clear
95059580;AllConsoles;AllConsoles;60983.0;12843.0;1033-CB grey
95059811;AllConsoles;AllConsoles;48057.0;10870.0;1043-CB clear
95059801;AllConsoles;AllConsoles;54064.0;10964.0;1043-CG clear
94520420;AllConsoles;AllConsoles;59297.0;16650.0;1011-CG clear
94520421;AllConsoles;AllConsoles;65789.0;18473.0;1011-CB grey
94618177;AllConsoles;AllConsoles;53183.0;11615.0;1041-CB clear
148235762;AllConsoles;AllConsoles;53774.0;10905.0;1083-CG clear
141205586;AllConsoles;AllConsoles;52665.0;19717.0;1024-CS grey
141199222;AllConsoles;AllConsoles;44237.0;13456.0;1042-CS grey
133679251;AllConsoles;AllConsoles;49504.0;17762.0;1052-CG grey
95059806;AllConsoles;AllConsoles;48524.0;11733.0;1043-CB grey
94871563;AllConsoles;AllConsoles;51223.0;17979.0;1012-CS clear
148263904;AllConsoles;AllConsoles;52015.0;15822.0;1123-CG grey
148263893;AllConsoles;AllConsoles;62139.0;14540.0;1124-CG grey
133676994;AllConsoles;AllConsoles;49140.0;11115.0;1044-CG grey
148263901;AllConsoles;AllConsoles;50495.0;15360.0;1123-CG clear
190913094;AllConsoles;AllConsoles;40838.0;14971.0;1014-CG grey
95059804;AllConsoles;AllConsoles;49809.0;17482.0;1052-CB clear
148235760;AllConsoles;AllConsoles;45017.0;16503.0;1031-CB_S grey
148235756;AllConsoles;AllConsoles;49599.0;14314.0;1031-CB_G grey
95059674;AllConsoles;AllConsoles;48721.0;15960.0;1033-CS grey
95059815;AllConsoles;AllConsoles;36696.0;12021.0;1042-CG clear
94870652;AllConsoles;AllConsoles;57885.0;17157.0;1011-CB clear
95059819;AllConsoles;AllConsoles;47908.0;11957.0;1042-CB clear
94870880;AllConsoles;AllConsoles;56763.0;15939.0;1012-CG clear
149296080;AllConsoles;AllConsoles;40838.0;14971.0;1014-CB grey
148263917;AllConsoles;AllConsoles;37009.0;13567.0;1082-CS clear
94943751;AllConsoles;AllConsoles;55720.0;20426.0;1022-CS clear
94943859;AllConsoles;AllConsoles;53179.0;19495.0;1024-CS clear
94618229;AllConsoles;AllConsoles;59577.0;20911.0;1051-CS clear
94945029;AllConsoles;AllConsoles;58720.0;20152.0;1011-CS grey
94616508;AllConsoles;AllConsoles;55335.0;17696.0;1021-CB grey
148263899;AllConsoles;AllConsoles;41222.0;12539.0;1084-CS clear
148263889;AllConsoles;AllConsoles;48279.0;10920.0;1084-CB grey
148263902;AllConsoles;AllConsoles;42425.0;12905.0;1084-CS grey
94945983;AllConsoles;AllConsoles;59220.0;21248.0;1051-CS grey
94945909;AllConsoles;AllConsoles;52827.0;14009.0;1041-CB grey
94618182;AllConsoles;AllConsoles;63325.0;18275.0;1051-CB grey
134171006;AllConsoles;AllConsoles;57342.0;13865.0;1094-CB clear
148263890;AllConsoles;AllConsoles;57381.0;14769.0;1124-CG clear
148263918;AllConsoles;AllConsoles;58780.0;14213.0;1124-CB grey
94957187;AllConsoles;AllConsoles;44219.0;15865.0;1031-CS grey
94957189;AllConsoles;AllConsoles;42392.0;15540.0;1031-CS clear
94943949;AllConsoles;AllConsoles;51569.0;13676.0;1041-CS clear
148235759;AllConsoles;AllConsoles;49441.0;14268.0;1033-CB_S grey
94945907;AllConsoles;AllConsoles;42491.0;13257.0;1041-CG grey
95059802;AllConsoles;AllConsoles;41808.0;13044.0;1042-CS clear
95059583;AllConsoles;AllConsoles;44252.0;12771.0;1033-CG clear
